CustomerID,Age,Gender,MonthlyCharges,TotalCharges,TechSupport,Tenure,PaperlessBilling,Churn,AverageMonthlyCharges,CustomerLifetimeValue,ContractValue,HighValueCustomer,LongTermCustomer,TotalServicesUsed,MonthlyCharges_Tenure_Interaction,LogTotalCharges,MonthlyCharges_Squared,ContractType_One year,ContractType_Two year,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_12-24,TenureGroup_24-48,TenureGroup_48-72,TenureGroup_72+
1,45.0,Female,50.04487441786132,842.8581252488077,No,16,No,1,52.67863282805048,1264.2871878732117,800.7179906857812,0,0,1,800.7179906857812,6.7379843824194605,2504.4894554995108,False,False,True,False,True,False,False,True,False,False,False
2,38.0,Male,58.5053274935484,2236.131189791696,Yes,38,Yes,0,58.84555762609727,3354.196784687544,2223.2024447548392,1,0,2,2223.2024447548392,7.712949605184813,3422.87334512735,True,False,False,False,False,True,False,False,True,False,False
3,47.0,Female,51.09063320010684,2385.088771000137,No,48,No,0,49.68934939583619,3577.6331565002056,2452.3503936051284,1,0,1,2452.3503936051284,7.777410806911347,2610.2528007878595,False,True,True,False,False,False,False,False,True,False,False
4,58.0,Female,36.10076123189649,766.7357412805353,No,19,Yes,0,40.35451269897554,1150.103611920803,685.9144634060333,0,0,0,685.9144634060333,6.643445587061898,1303.2649615224007,False,False,False,True,False,False,True,True,False,False,False
5,37.0,Female,93.78566906879286,3192.690184449321,No,35,Yes,0,91.21971955569488,4789.035276673982,3282.49841740775,1,0,1,3282.49841740775,8.068932324837078,8795.751722681129,True,False,True,False,False,False,False,False,True,False,False
6,37.0,Male,70.00158749049447,1846.5565838653365,No,26,Yes,0,71.02140707174371,2769.8348757980043,1820.0412747528562,1,0,1,1820.0412747528562,7.521619279614698,4900.222251189352,False,True,False,False,False,True,False,False,True,False,False
7,58.0,Female,21.24778579677412,282.73201801022253,No,12,Yes,1,23.56100150085188,424.0980270153338,254.97342956128944,0,0,0,254.97342956128944,5.648030194136283,451.46840126559607,False,False,False,True,False,True,False,False,False,False,False
8,49.0,Female,53.86792425942439,3062.3560850789904,No,58,Yes,1,52.79924284618949,4593.534127618485,3124.3396070466147,1,1,1,3124.3396070466147,8.027266353774497,2901.753264019083,False,True,False,False,False,False,False,False,False,True,False
9,34.0,Female,46.12576291511445,689.9939091862109,No,15,No,1,45.99959394574739,1034.9908637793164,691.8864437267167,0,0,1,691.8864437267167,6.538131009237087,2127.5860045013474,False,False,True,False,True,False,False,True,False,False,False
10,46.0,Male,89.9156702031498,2435.7973735805517,No,28,No,0,86.99276334216255,3653.696060370826,2517.6387656881943,1,0,1,2517.6387656881943,7.798439904325376,8084.827748081601,True,False,True,False,True,False,False,False,True,False,False
11,34.0,Male,23.798334550370853,1166.5896844540562,No,55,Yes,0,21.210721535528293,1749.8845266810845,1308.908400270397,0,1,0,1308.908400270397,7.062696804112272,566.3607273713751,False,True,False,True,False,True,False,False,False,True,False
12,34.0,Female,25.673056252922603,408.7212012060239,No,18,No,0,22.706733400334663,613.0818018090358,462.11501255260686,0,0,0,462.11501255260686,6.0154769313370124,659.1058173657284,True,False,False,True,False,True,False,True,False,False,False
13,42.0,Male,36.88311811452882,669.9479970629477,No,19,Yes,0,35.26042089804988,1004.9219955944216,700.7792441760475,0,0,0,700.7792441760475,6.508691633317007,1360.364401850284,False,False,False,True,False,False,False,True,False,False,False
14,18.0,Female,40.91055524078735,318.586695726051,No,7,Yes,0,45.51238510372157,477.8800435890765,286.3738866855115,0,0,1,286.3738866855115,5.7670285851347005,1673.6735301095136,False,False,False,False,False,False,True,False,False,False,False
15,19.0,Male,20.0,563.370404253041,No,28,Yes,0,20.12037158046575,845.0556063795615,560.0,0,0,0,560.0,6.335710781064856,400.0,False,True,False,True,False,False,False,False,True,False,False
16,33.0,Male,54.90006382313251,443.8777835543674,Yes,8,Yes,0,55.484722944295925,665.8166753315511,439.2005105850601,0,0,2,439.2005105850601,6.097799600746702,3014.0170077840235,False,False,False,False,False,False,True,False,False,False,False
17,27.0,Female,35.9684689181194,704.6167661163281,No,21,Yes,0,33.553179338872766,1056.9251491744922,755.3378472805074,0,0,1,755.3378472805074,6.559072265913014,1293.7307563137213,False,False,False,False,False,False,True,True,False,False,False
18,43.0,Female,66.2480235744632,1165.9638591382684,No,18,No,0,64.77576995212603,1748.9457887074027,1192.4644243403377,0,0,1,1192.4644243403377,7.062160662773817,4388.800627522633,True,False,True,False,False,False,False,True,False,False,False
19,29.0,Female,79.85899620933938,352.7986505532388,Yes,5,Yes,0,70.55973011064776,529.1979758298583,399.2949810466969,0,0,2,399.2949810466969,5.868727967567023,6377.459275563281,False,False,True,False,False,True,False,False,False,False,False
20,23.0,Male,63.49157457254338,1399.0575148170071,No,23,Yes,0,60.82858760073944,2098.5862722255106,1460.3062151684976,0,0,1,1460.3062151684976,7.244268596771655,4031.1800417008367,False,False,True,False,False,False,False,True,False,False,False
21,57.0,Female,96.17978819458224,1028.2926987910416,Yes,11,Yes,1,93.48115443554924,1542.4390481865626,1057.9776701404046,0,0,2,1057.9776701404046,6.93662714513423,9250.551657154701,False,False,True,False,False,False,True,False,False,False,False
22,37.0,Male,20.0,203.7256192548167,No,10,Yes,0,20.37256192548167,305.58842888222506,200.0,0,0,0,200.0,5.321670639964556,400.0,False,False,False,True,True,False,False,False,False,False,False
23,40.0,Male,66.84156860350012,2110.298269340794,Yes,32,No,0,65.94682091689981,3165.447404011191,2138.930195312004,1,0,2,2138.930195312004,7.655058330781104,4467.795293376414,True,False,False,False,False,True,False,False,True,False,False
24,22.0,Female,59.91778212224007,2620.2072799073144,No,44,No,0,59.55016545243896,3930.310919860972,2636.382413378563,1,0,1,2636.382413378563,7.871390284480009,3590.1406144482316,True,False,False,False,False,True,False,False,True,False,False
25,33.0,Male,20.0,434.7457405455695,No,20,Yes,0,21.73728702727848,652.1186108183542,400.0,0,0,0,400.0,6.077058909356531,400.0,False,False,False,True,True,False,False,True,False,False,False
26,41.0,Female,36.13387147655003,1998.4590817522665,No,56,Yes,0,35.68676931700475,2997.6886226284,2023.4968026868014,1,1,1,2023.4968026868014,7.600631963837551,1305.6566678838356,False,True,False,False,False,False,False,False,False,True,False
27,26.0,Male,28.39434765515097,1722.1455707251162,No,63,No,0,27.33564397976375,2583.2183560876742,1788.843902274511,0,1,1,1788.843902274511,7.451906719740966,806.2389787615774,False,True,True,False,True,False,False,False,False,True,False
