CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue
1,45.0,Female,Month-to-month,50.044874417861315,842.8581252488077,No,Fiber optic,16,No,Credit card (automatic),Yes,52.67863282805048,1264.2871878732117
2,38.0,Male,One year,58.5053274935484,2236.131189791696,Yes,DSL,38,Yes,Electronic check,No,58.84555762609727,3354.196784687544
3,47.0,Female,Two year,51.090633200106836,2385.088771000137,No,Fiber optic,48,No,Bank transfer (automatic),No,49.68934939583619,3577.6331565002056
4,58.0,Female,Month-to-month,36.10076123189649,766.7357412805353,No,No,19,Yes,Mailed check,No,40.35451269897554,1150.103611920803
5,37.0,Female,One year,93.78566906879286,3192.690184449321,No,Fiber optic,35,Yes,Bank transfer (automatic),No,91.21971955569488,4789.035276673982
6,37.0,Male,Two year,70.00158749049447,1846.5565838653363,No,DSL,26,Yes,Electronic check,No,71.02140707174371,2769.8348757980043
7,58.0,Female,Month-to-month,21.24778579677412,282.73201801022253,No,No,12,Yes,Electronic check,Yes,23.561001500851877,424.0980270153338
8,49.0,Female,Two year,53.86792425942439,3062.3560850789904,No,DSL,58,Yes,Bank transfer (automatic),Yes,52.79924284618949,4593.534127618485
9,34.0,Female,Month-to-month,46.12576291511445,689.9939091862109,No,Fiber optic,15,No,Credit card (automatic),Yes,45.99959394574739,1034.9908637793164
10,46.0,Male,One year,89.9156702031498,2435.7973735805513,No,Fiber optic,28,No,Credit card (automatic),No,86.99276334216255,3653.6960603708267
11,34.0,Male,Two year,23.798334550370853,1166.5896844540562,No,No,55,Yes,Electronic check,No,21.210721535528293,1749.8845266810843
12,34.0,Female,One year,25.673056252922603,408.7212012060239,No,No,18,No,Electronic check,No,22.706733400334663,613.0818018090358
13,42.0,Male,Month-to-month,36.88311811452882,669.9479970629477,No,No,19,Yes,Bank transfer (automatic),No,35.26042089804988,1004.9219955944216
14,18.0,Female,Month-to-month,40.910555240787346,318.586695726051,No,DSL,7,Yes,Mailed check,No,45.51238510372157,477.88004358907654
15,19.0,Male,Two year,20.0,563.370404253041,No,No,28,Yes,Bank transfer (automatic),No,20.12037158046575,845.0556063795615
16,33.0,Male,Month-to-month,54.90006382313251,443.8777835543674,Yes,DSL,8,Yes,Mailed check,No,55.484722944295925,665.8166753315511
